,"A1 Endurance sport, land-based","A2 Endurance sport, Cycling","A3 Endurance sport, Swimming",B1 Individual Fitness,B2 Group-based Fitness,E Compostional-creative activities,F relaxation-oriented activities,G  Outdoor sports,H1 Team sport games,H2 Net games
850,0.35,0.13,0.36,0.35,0.42,0.55,0.15,0.34,0.12,0.4
851,0.53,0.18,0.53,0.36,0.6,0.35,0.2,0.19,0.05,0.15
852,0.63,0.67,0.25,0.6,0.17,0.03,0.1,0.44,0.1,0.28
853,0.48,0.59,0.17,0.18,0.12,0.41,0.09,0.61,0.83,0.73
854,0.35,0.3,0.43,0.51,0.63,0.17,0.57,0.1,0.02,0.13
855,0.34,0.14,0.18,0.42,0.16,0.04,0.03,0.25,0.43,0.25
856,0.67,0.54,0.46,0.44,0.65,0.36,0.73,0.52,0.04,0.48
857,0.32,0.26,0.2,0.46,0.09,0.21,0.05,0.32,0.88,0.5
858,0.47,0.21,0.25,0.29,0.38,0.58,0.2,0.15,0.02,0.2
859,0.7,0.52,0.61,0.58,0.54,0.41,0.54,0.38,0.06,0.13
860,0.38,0.21,0.41,0.43,0.41,0.38,0.1,0.28,0.55,0.56
861,0.55,0.42,0.29,0.69,0.15,0.05,0.08,0.3,0.38,0.36
862,0.43,0.2,0.14,0.63,0.21,0.08,0.09,0.04,0.07,0.06
863,0.55,0.46,0.26,0.35,0.07,0.01,0.08,0.17,0.1,0.13
864,0.41,0.18,0.2,0.36,0.09,0.15,0.04,0.45,0.79,0.56
865,0.56,0.42,0.31,0.34,0.35,0.12,0.13,0.51,0.65,0.39
866,0.44,0.2,0.17,0.58,0.07,0.08,0.04,0.17,0.68,0.37
867,0.54,0.37,0.3,0.33,0.39,0.23,0.26,0.4,0.08,0.6
868,0.76,0.25,0.36,0.52,0.38,0.27,0.54,0.33,0.02,0.08
869,0.59,0.31,0.47,0.6,0.36,0.4,0.21,0.41,0.11,0.23
870,0.63,0.3,0.35,0.57,0.38,0.26,0.52,0.18,0.02,0.08
871,0.59,0.73,0.18,0.58,0.17,0.05,0.03,0.42,0.07,0.17
872,0.34,0.14,0.18,0.61,0.15,0.28,0.05,0.17,0.78,0.49
873,0.63,0.41,0.5,0.34,0.32,0.1,0.64,0.07,0.04,0.11
874,0.53,0.6,0.19,0.58,0.25,0.07,0.05,0.42,0.5,0.43
875,0.55,0.54,0.3,0.5,0.67,0.24,0.59,0.52,0.07,0.61
876,0.59,0.47,0.48,0.6,0.53,0.5,0.68,0.46,0.1,0.2
877,0.5,0.56,0.25,0.47,0.59,0.35,0.41,0.57,0.03,0.55
878,0.51,0.35,0.43,0.55,0.44,0.65,0.46,0.38,0.09,0.43
879,0.47,0.21,0.35,0.58,0.25,0.23,0.11,0.37,0.57,0.49
880,0.53,0.54,0.31,0.57,0.11,0.02,0.1,0.14,0.15,0.15
881,0.32,0.27,0.11,0.52,0.13,0.06,0.05,0.12,0.44,0.32
882,0.32,0.14,0.26,0.65,0.25,0.22,0.08,0.19,0.72,0.69
883,0.42,0.52,0.25,0.61,0.13,0.21,0.07,0.68,0.76,0.66
884,0.61,0.57,0.54,0.51,0.35,0.48,0.75,0.6,0.07,0.37
885,0.37,0.18,0.27,0.5,0.25,0.38,0.13,0.38,0.57,0.53
886,0.49,0.41,0.4,0.64,0.65,0.39,0.35,0.43,0.09,0.27
887,0.42,0.18,0.13,0.78,0.06,0.04,0.03,0.21,0.68,0.28
888,0.35,0.31,0.48,0.51,0.67,0.45,0.29,0.36,0.09,0.37
889,0.71,0.39,0.2,0.49,0.23,0.12,0.3,0.25,0.03,0.1
890,0.44,0.27,0.2,0.8,0.12,0.05,0.04,0.2,0.37,0.15
891,0.39,0.14,0.48,0.47,0.59,0.28,0.31,0.15,0.1,0.26
892,0.68,0.47,0.54,0.39,0.53,0.39,0.75,0.27,0.04,0.17
893,0.61,0.56,0.27,0.43,0.58,0.25,0.63,0.52,0.03,0.28
894,0.44,0.5,0.27,0.58,0.28,0.11,0.04,0.38,0.75,0.48
895,0.61,0.59,0.31,0.53,0.21,0.03,0.1,0.14,0.07,0.12
896,0.37,0.42,0.24,0.36,0.11,0.03,0.07,0.12,0.58,0.59
897,0.62,0.5,0.57,0.56,0.61,0.4,0.56,0.52,0.06,0.25
898,0.6,0.22,0.38,0.26,0.44,0.21,0.3,0.29,0.07,0.23
899,0.46,0.42,0.36,0.49,0.4,0.29,0.2,0.38,0.16,0.61
900,0.57,0.54,0.4,0.58,0.69,0.3,0.62,0.48,0.05,0.42
901,0.54,0.27,0.31,0.51,0.43,0.18,0.24,0.38,0.33,0.59
902,0.73,0.63,0.35,0.24,0.37,0.11,0.39,0.47,0.21,0.18
903,0.6,0.47,0.55,0.47,0.26,0.48,0.75,0.17,0.02,0.09
904,0.45,0.18,0.19,0.78,0.21,0.41,0.19,0.38,0.13,0.22
905,0.55,0.46,0.52,0.53,0.48,0.4,0.64,0.18,0.02,0.25
906,0.46,0.37,0.49,0.3,0.57,0.53,0.61,0.45,0.09,0.35
907,0.69,0.56,0.43,0.41,0.54,0.18,0.59,0.38,0.05,0.18
908,0.42,0.36,0.22,0.22,0.23,0.02,0.06,0.25,0.64,0.65
909,0.53,0.38,0.46,0.56,0.24,0.59,0.4,0.49,0.08,0.22
910,0.4,0.22,0.21,0.72,0.15,0.34,0.27,0.09,0.11,0.12
911,0.64,0.44,0.57,0.37,0.45,0.44,0.82,0.36,0.05,0.21
912,0.46,0.14,0.22,0.64,0.1,0.05,0.03,0.22,0.79,0.37
913,0.42,0.3,0.44,0.25,0.53,0.39,0.73,0.13,0.02,0.13
914,0.67,0.69,0.22,0.5,0.12,0.03,0.1,0.45,0.14,0.21
915,0.39,0.3,0.3,0.66,0.22,0.47,0.09,0.27,0.3,0.49
916,0.37,0.36,0.18,0.24,0.13,0.08,0.06,0.24,0.52,0.48
917,0.28,0.1,0.42,0.3,0.54,0.27,0.18,0.24,0.1,0.39
918,0.4,0.2,0.26,0.41,0.37,0.2,0.18,0.15,0.14,0.19
919,0.34,0.15,0.08,0.85,0.08,0.02,0.03,0.07,0.67,0.14
920,0.41,0.42,0.16,0.62,0.23,0.1,0.06,0.4,0.71,0.67
921,0.46,0.12,0.22,0.33,0.37,0.2,0.07,0.26,0.02,0.06
922,0.38,0.22,0.25,0.61,0.35,0.46,0.1,0.3,0.33,0.51
923,0.44,0.37,0.45,0.58,0.36,0.64,0.46,0.62,0.1,0.36
924,0.71,0.59,0.55,0.34,0.36,0.63,0.72,0.72,0.03,0.33
925,0.58,0.51,0.21,0.43,0.14,0.04,0.04,0.28,0.1,0.3
926,0.78,0.28,0.35,0.45,0.37,0.22,0.35,0.24,0.02,0.07
927,0.7,0.4,0.38,0.37,0.5,0.19,0.55,0.12,0.02,0.16
928,0.65,0.4,0.5,0.36,0.14,0.04,0.09,0.08,0.12,0.12
929,0.37,0.23,0.25,0.47,0.12,0.39,0.07,0.66,0.77,0.51
930,0.27,0.18,0.24,0.41,0.69,0.21,0.36,0.07,0.02,0.05
931,0.43,0.23,0.37,0.54,0.39,0.74,0.38,0.42,0.31,0.51
932,0.68,0.34,0.17,0.48,0.55,0.19,0.22,0.21,0.02,0.09
933,0.46,0.34,0.4,0.32,0.36,0.3,0.28,0.67,0.47,0.56
934,0.64,0.57,0.55,0.61,0.47,0.22,0.75,0.34,0.02,0.2
935,0.56,0.71,0.18,0.48,0.23,0.06,0.11,0.49,0.49,0.65
936,0.56,0.35,0.24,0.81,0.08,0.03,0.05,0.3,0.37,0.33
937,0.71,0.66,0.39,0.47,0.13,0.07,0.06,0.34,0.06,0.14
938,0.62,0.6,0.51,0.27,0.61,0.64,0.69,0.77,0.06,0.51
939,0.5,0.22,0.36,0.42,0.48,0.38,0.3,0.43,0.18,0.58
940,0.48,0.24,0.19,0.19,0.13,0.36,0.21,0.1,0.05,0.11
941,0.32,0.41,0.26,0.42,0.08,0.1,0.06,0.37,0.75,0.4
942,0.62,0.47,0.33,0.47,0.41,0.13,0.57,0.14,0.02,0.07
943,0.32,0.26,0.31,0.22,0.38,0.41,0.33,0.17,0.13,0.17
944,0.28,0.21,0.43,0.46,0.67,0.4,0.25,0.09,0.04,0.16
945,0.51,0.24,0.43,0.24,0.59,0.19,0.25,0.36,0.07,0.21
946,0.65,0.54,0.42,0.54,0.32,0.4,0.69,0.44,0.03,0.29
947,0.35,0.17,0.08,0.57,0.11,0.18,0.09,0.09,0.14,0.28
948,0.46,0.32,0.48,0.57,0.5,0.41,0.55,0.3,0.09,0.26
949,0.42,0.47,0.31,0.22,0.46,0.6,0.33,0.78,0.11,0.3
950,0.65,0.47,0.39,0.58,0.54,0.25,0.6,0.3,0.06,0.13
951,0.73,0.63,0.44,0.54,0.48,0.22,0.77,0.54,0.03,0.15
952,0.56,0.13,0.36,0.55,0.63,0.15,0.33,0.2,0.06,0.14
953,0.27,0.17,0.2,0.34,0.28,0.31,0.05,0.33,0.76,0.57
954,0.52,0.53,0.29,0.58,0.24,0.11,0.09,0.47,0.69,0.63
955,0.63,0.48,0.48,0.39,0.41,0.38,0.37,0.35,0.09,0.37
956,0.62,0.44,0.56,0.56,0.48,0.22,0.75,0.15,0.02,0.13
957,0.69,0.41,0.36,0.28,0.05,0.02,0.05,0.11,0.1,0.17
958,0.51,0.56,0.46,0.6,0.62,0.28,0.54,0.42,0.03,0.42
959,0.62,0.35,0.41,0.69,0.43,0.38,0.52,0.44,0.12,0.24
960,0.76,0.64,0.5,0.49,0.31,0.09,0.67,0.6,0.04,0.22
961,0.49,0.22,0.21,0.62,0.24,0.24,0.12,0.35,0.52,0.26
962,0.63,0.4,0.44,0.52,0.16,0.02,0.07,0.17,0.17,0.14
963,0.45,0.36,0.34,0.35,0.32,0.28,0.49,0.06,0.03,0.11
964,0.41,0.15,0.22,0.56,0.15,0.27,0.11,0.21,0.48,0.26
965,0.77,0.38,0.34,0.4,0.36,0.09,0.4,0.21,0.05,0.23
966,0.57,0.54,0.26,0.68,0.14,0.06,0.04,0.38,0.59,0.42
967,0.58,0.49,0.54,0.55,0.7,0.38,0.62,0.43,0.07,0.25
968,0.55,0.4,0.48,0.6,0.65,0.38,0.35,0.14,0.04,0.12
969,0.48,0.36,0.23,0.68,0.11,0.08,0.06,0.46,0.71,0.56
970,0.35,0.21,0.13,0.33,0.16,0.51,0.05,0.09,0.6,0.52
971,0.53,0.58,0.31,0.48,0.1,0.03,0.16,0.27,0.18,0.42
972,0.41,0.13,0.43,0.17,0.42,0.69,0.31,0.33,0.09,0.42
973,0.57,0.25,0.32,0.59,0.17,0.19,0.34,0.16,0.06,0.18
974,0.4,0.2,0.15,0.72,0.07,0.05,0.04,0.3,0.76,0.4
975,0.59,0.61,0.43,0.43,0.15,0.04,0.12,0.23,0.28,0.35
976,0.4,0.36,0.37,0.49,0.38,0.39,0.24,0.36,0.23,0.53
977,0.63,0.32,0.44,0.61,0.54,0.22,0.45,0.31,0.08,0.14
978,0.27,0.18,0.34,0.34,0.24,0.57,0.16,0.37,0.57,0.59
979,0.39,0.14,0.28,0.67,0.16,0.31,0.1,0.13,0.61,0.65
980,0.5,0.63,0.22,0.65,0.16,0.04,0.12,0.46,0.16,0.38
981,0.61,0.38,0.59,0.42,0.46,0.55,0.62,0.23,0.06,0.25
982,0.19,0.16,0.09,0.19,0.22,0.54,0.06,0.13,0.7,0.37
983,0.33,0.54,0.21,0.31,0.07,0.21,0.07,0.57,0.67,0.27
984,0.35,0.1,0.15,0.42,0.12,0.06,0.04,0.19,0.51,0.48
985,0.66,0.44,0.52,0.38,0.48,0.16,0.77,0.23,0.06,0.19
986,0.35,0.57,0.15,0.19,0.14,0.45,0.06,0.8,0.83,0.66
987,0.74,0.64,0.41,0.55,0.45,0.17,0.67,0.39,0.04,0.11
988,0.49,0.54,0.41,0.3,0.53,0.71,0.39,0.81,0.37,0.64
989,0.64,0.59,0.39,0.5,0.37,0.15,0.69,0.37,0.03,0.47
990,0.41,0.25,0.22,0.44,0.5,0.22,0.13,0.07,0.08,0.17
991,0.33,0.18,0.3,0.44,0.29,0.12,0.49,0.15,0.05,0.18
992,0.71,0.56,0.33,0.39,0.38,0.03,0.35,0.37,0.14,0.42
993,0.44,0.41,0.23,0.62,0.17,0.04,0.07,0.27,0.31,0.2
994,0.59,0.41,0.32,0.42,0.35,0.12,0.22,0.63,0.5,0.57
995,0.44,0.35,0.35,0.51,0.13,0.28,0.03,0.32,0.82,0.48
996,0.61,0.22,0.37,0.45,0.11,0.19,0.15,0.13,0.56,0.45
997,0.63,0.61,0.24,0.25,0.17,0.05,0.09,0.38,0.09,0.35
998,0.54,0.33,0.52,0.56,0.58,0.71,0.56,0.25,0.05,0.12
999,0.61,0.48,0.38,0.61,0.14,0.08,0.14,0.25,0.19,0.22
1000,0.36,0.06,0.08,0.36,0.41,0.1,0.43,0.1,0.02,0.03
1001,0.21,0.14,0.08,0.48,0.18,0.36,0.07,0.08,0.49,0.3
1002,0.52,0.44,0.53,0.57,0.56,0.33,0.49,0.33,0.06,0.26
1003,0.42,0.47,0.3,0.45,0.15,0.03,0.15,0.18,0.13,0.1
1004,0.61,0.59,0.58,0.6,0.64,0.24,0.74,0.44,0.04,0.24
1005,0.77,0.6,0.5,0.46,0.43,0.27,0.62,0.33,0.03,0.1
1006,0.46,0.4,0.51,0.68,0.69,0.26,0.52,0.32,0.06,0.39
1007,0.45,0.48,0.24,0.49,0.27,0.07,0.1,0.21,0.29,0.54
1008,0.32,0.13,0.26,0.21,0.56,0.38,0.2,0.23,0.08,0.39
1009,0.36,0.56,0.14,0.79,0.05,0.09,0.04,0.21,0.66,0.24
1010,0.75,0.6,0.56,0.58,0.45,0.26,0.78,0.45,0.03,0.11
1011,0.41,0.13,0.32,0.63,0.37,0.59,0.52,0.32,0.3,0.25
1012,0.48,0.39,0.51,0.54,0.61,0.42,0.4,0.27,0.06,0.28
1013,0.37,0.25,0.19,0.84,0.09,0.08,0.04,0.1,0.6,0.17
1014,0.65,0.56,0.42,0.61,0.09,0.07,0.07,0.56,0.56,0.44
1015,0.5,0.2,0.39,0.4,0.25,0.2,0.41,0.15,0.05,0.19
1016,0.35,0.16,0.39,0.28,0.28,0.52,0.07,0.31,0.5,0.66
1017,0.6,0.4,0.53,0.64,0.49,0.3,0.76,0.24,0.05,0.12
1018,0.69,0.57,0.42,0.59,0.63,0.29,0.56,0.23,0.02,0.11
1019,0.45,0.34,0.35,0.54,0.52,0.52,0.66,0.24,0.07,0.14
1020,0.72,0.22,0.13,0.33,0.39,0.15,0.28,0.13,0.03,0.04
1021,0.37,0.18,0.46,0.31,0.75,0.38,0.37,0.31,0.19,0.36
1022,0.74,0.66,0.49,0.43,0.34,0.4,0.63,0.75,0.07,0.34
1023,0.58,0.39,0.57,0.57,0.58,0.25,0.74,0.24,0.07,0.18
1024,0.35,0.19,0.26,0.42,0.33,0.51,0.11,0.23,0.58,0.5
1025,0.52,0.54,0.23,0.61,0.49,0.24,0.62,0.56,0.04,0.38
1026,0.48,0.37,0.29,0.25,0.08,0.17,0.1,0.28,0.56,0.5
1027,0.67,0.66,0.27,0.52,0.12,0.04,0.1,0.36,0.06,0.1
1028,0.45,0.3,0.6,0.29,0.66,0.23,0.39,0.29,0.03,0.2
1029,0.61,0.63,0.2,0.3,0.47,0.68,0.56,0.61,0.03,0.27
1030,0.74,0.6,0.57,0.59,0.3,0.24,0.48,0.3,0.02,0.08
1031,0.72,0.56,0.44,0.44,0.48,0.33,0.74,0.37,0.03,0.37
1032,0.28,0.23,0.25,0.27,0.3,0.79,0.1,0.52,0.46,0.55
1033,0.69,0.56,0.52,0.37,0.41,0.42,0.63,0.76,0.05,0.3
1034,0.42,0.44,0.43,0.55,0.62,0.18,0.52,0.23,0.04,0.34
1035,0.34,0.17,0.19,0.79,0.23,0.45,0.07,0.09,0.36,0.35
1036,0.44,0.47,0.28,0.56,0.12,0.3,0.04,0.49,0.81,0.7
1037,0.53,0.58,0.34,0.58,0.14,0.05,0.13,0.17,0.09,0.14
1038,0.69,0.53,0.61,0.47,0.62,0.53,0.58,0.54,0.07,0.27
1039,0.34,0.2,0.19,0.41,0.31,0.24,0.1,0.22,0.66,0.57
1040,0.27,0.34,0.37,0.43,0.34,0.2,0.11,0.47,0.69,0.55
1041,0.65,0.49,0.34,0.5,0.11,0.03,0.07,0.21,0.13,0.35
1042,0.62,0.6,0.51,0.28,0.42,0.29,0.66,0.71,0.04,0.34
1043,0.62,0.41,0.38,0.68,0.4,0.27,0.34,0.31,0.06,0.09
1044,0.37,0.41,0.34,0.28,0.35,0.31,0.23,0.59,0.66,0.55
1045,0.68,0.57,0.43,0.58,0.52,0.38,0.58,0.33,0.02,0.1
1046,0.75,0.54,0.41,0.46,0.25,0.42,0.59,0.42,0.02,0.09
1047,0.56,0.55,0.31,0.66,0.36,0.15,0.6,0.34,0.03,0.12
1048,0.29,0.23,0.21,0.38,0.08,0.09,0.03,0.12,0.9,0.5
1049,0.6,0.36,0.24,0.31,0.23,0.26,0.24,0.04,0.02,0.05
1050,0.56,0.26,0.35,0.67,0.32,0.48,0.26,0.21,0.23,0.38
1051,0.37,0.15,0.15,0.57,0.17,0.16,0.15,0.09,0.08,0.1
1052,0.72,0.7,0.46,0.51,0.21,0.05,0.43,0.56,0.08,0.23
1053,0.53,0.42,0.54,0.42,0.47,0.75,0.74,0.36,0.06,0.26
1054,0.58,0.37,0.49,0.31,0.53,0.1,0.73,0.36,0.09,0.33
1055,0.3,0.16,0.21,0.68,0.07,0.04,0.02,0.29,0.89,0.48
1056,0.51,0.55,0.3,0.3,0.38,0.43,0.53,0.8,0.1,0.66
1057,0.74,0.48,0.5,0.5,0.39,0.23,0.75,0.33,0.04,0.13
1058,0.26,0.22,0.18,0.76,0.07,0.03,0.03,0.22,0.76,0.32
1059,0.64,0.55,0.4,0.55,0.53,0.3,0.69,0.32,0.03,0.44
1060,0.33,0.35,0.42,0.41,0.32,0.7,0.13,0.66,0.39,0.51
1061,0.53,0.47,0.5,0.38,0.65,0.68,0.76,0.4,0.03,0.31
1062,0.49,0.35,0.35,0.43,0.58,0.27,0.52,0.08,0.03,0.14
1063,0.45,0.28,0.39,0.43,0.59,0.37,0.32,0.61,0.36,0.53
1064,0.69,0.46,0.58,0.51,0.39,0.2,0.7,0.13,0.02,0.14
1065,0.33,0.22,0.48,0.47,0.56,0.29,0.74,0.14,0.04,0.21
1066,0.6,0.62,0.38,0.54,0.09,0.14,0.18,0.6,0.31,0.25
1067,0.52,0.43,0.44,0.41,0.37,0.7,0.59,0.38,0.12,0.34
1068,0.65,0.16,0.23,0.45,0.12,0.21,0.1,0.14,0.31,0.35
1069,0.69,0.61,0.59,0.58,0.42,0.3,0.68,0.4,0.03,0.12
1070,0.41,0.31,0.5,0.43,0.7,0.48,0.46,0.33,0.07,0.35
1071,0.74,0.61,0.41,0.44,0.4,0.19,0.73,0.56,0.04,0.24
1072,0.36,0.17,0.33,0.63,0.41,0.51,0.25,0.29,0.35,0.48
1073,0.41,0.38,0.19,0.39,0.19,0.03,0.06,0.12,0.31,0.33
1074,0.26,0.15,0.19,0.44,0.11,0.08,0.02,0.37,0.91,0.76
1075,0.39,0.33,0.2,0.35,0.23,0.5,0.13,0.07,0.25,0.28
1076,0.45,0.23,0.06,0.46,0.07,0.02,0.03,0.04,0.12,0.21
1077,0.73,0.22,0.36,0.56,0.32,0.12,0.34,0.16,0.02,0.07
1078,0.42,0.49,0.24,0.31,0.18,0.17,0.05,0.42,0.48,0.58
1079,0.32,0.17,0.13,0.78,0.09,0.06,0.04,0.09,0.64,0.14
1080,0.45,0.24,0.09,0.64,0.09,0.14,0.14,0.12,0.16,0.18
1081,0.43,0.43,0.47,0.43,0.75,0.18,0.57,0.29,0.04,0.26
1082,0.29,0.37,0.12,0.44,0.07,0.05,0.03,0.09,0.81,0.29
1083,0.69,0.58,0.43,0.57,0.51,0.44,0.58,0.3,0.02,0.14
1084,0.36,0.26,0.29,0.4,0.33,0.59,0.23,0.48,0.39,0.59
1085,0.72,0.67,0.5,0.49,0.09,0.05,0.03,0.44,0.18,0.13
1086,0.45,0.39,0.28,0.44,0.18,0.05,0.06,0.09,0.14,0.25
1087,0.27,0.08,0.42,0.43,0.52,0.35,0.17,0.22,0.11,0.32
1088,0.45,0.63,0.38,0.27,0.54,0.65,0.58,0.8,0.07,0.37
1089,0.3,0.11,0.18,0.17,0.29,0.74,0.17,0.18,0.09,0.28
1090,0.35,0.18,0.39,0.51,0.32,0.32,0.14,0.2,0.13,0.33
1091,0.3,0.23,0.38,0.13,0.75,0.24,0.29,0.28,0.12,0.33
1092,0.6,0.35,0.4,0.43,0.43,0.19,0.56,0.55,0.03,0.21
1093,0.45,0.32,0.4,0.43,0.32,0.46,0.14,0.59,0.46,0.26
1094,0.31,0.1,0.24,0.47,0.57,0.22,0.15,0.18,0.08,0.29
1095,0.38,0.31,0.52,0.52,0.58,0.16,0.56,0.09,0.05,0.15
1096,0.23,0.1,0.2,0.54,0.69,0.15,0.42,0.08,0.02,0.03
1097,0.37,0.34,0.45,0.39,0.74,0.37,0.39,0.26,0.07,0.26
1098,0.67,0.78,0.4,0.32,0.17,0.16,0.16,0.69,0.13,0.41
1099,0.73,0.51,0.29,0.47,0.1,0.03,0.07,0.18,0.09,0.21
1100,0.35,0.3,0.42,0.52,0.62,0.25,0.32,0.12,0.05,0.17
1101,0.68,0.69,0.35,0.35,0.18,0.1,0.09,0.78,0.25,0.28
1102,0.29,0.26,0.23,0.59,0.26,0.65,0.24,0.25,0.21,0.28
1103,0.69,0.58,0.42,0.36,0.62,0.57,0.75,0.71,0.03,0.46
1104,0.49,0.22,0.32,0.29,0.7,0.14,0.23,0.26,0.04,0.3
1105,0.27,0.14,0.24,0.45,0.52,0.29,0.69,0.15,0.06,0.19
1106,0.55,0.37,0.24,0.77,0.34,0.3,0.2,0.42,0.02,0.44
1107,0.39,0.55,0.27,0.22,0.24,0.17,0.07,0.52,0.49,0.71
1108,0.73,0.63,0.55,0.59,0.48,0.26,0.76,0.44,0.04,0.14
1109,0.31,0.08,0.38,0.46,0.49,0.29,0.1,0.14,0.15,0.27
1110,0.55,0.33,0.45,0.57,0.61,0.48,0.37,0.51,0.19,0.52
1111,0.29,0.31,0.14,0.6,0.11,0.06,0.03,0.37,0.87,0.75
1112,0.55,0.51,0.36,0.43,0.12,0.04,0.08,0.31,0.42,0.4
1113,0.52,0.57,0.37,0.33,0.38,0.54,0.4,0.74,0.21,0.62
1114,0.47,0.29,0.11,0.43,0.15,0.05,0.05,0.05,0.06,0.12
1115,0.17,0.15,0.14,0.7,0.07,0.03,0.03,0.14,0.77,0.35
1116,0.76,0.56,0.61,0.43,0.51,0.43,0.75,0.53,0.04,0.12
1117,0.71,0.42,0.6,0.52,0.45,0.59,0.79,0.6,0.04,0.17
1118,0.6,0.52,0.23,0.52,0.12,0.06,0.11,0.14,0.05,0.21
1119,0.48,0.31,0.45,0.42,0.53,0.18,0.62,0.16,0.04,0.11
1120,0.73,0.66,0.43,0.25,0.38,0.42,0.66,0.79,0.06,0.23
1121,0.63,0.48,0.57,0.53,0.69,0.39,0.48,0.21,0.03,0.22
1122,0.26,0.23,0.27,0.38,0.36,0.35,0.13,0.61,0.65,0.63
1123,0.56,0.43,0.2,0.44,0.23,0.04,0.02,0.23,0.13,0.12
1124,0.7,0.5,0.56,0.47,0.52,0.18,0.64,0.53,0.08,0.28
1125,0.36,0.19,0.25,0.33,0.28,0.2,0.1,0.46,0.61,0.51
1126,0.65,0.51,0.59,0.69,0.5,0.39,0.62,0.41,0.07,0.13
1127,0.49,0.34,0.48,0.57,0.56,0.64,0.51,0.45,0.07,0.29
1128,0.62,0.73,0.3,0.27,0.27,0.1,0.12,0.47,0.55,0.5
1129,0.52,0.21,0.15,0.29,0.48,0.39,0.27,0.27,0.04,0.09
1130,0.31,0.14,0.3,0.52,0.21,0.28,0.12,0.07,0.08,0.29
1131,0.47,0.41,0.52,0.48,0.67,0.44,0.45,0.16,0.06,0.34
1132,0.27,0.11,0.07,0.63,0.07,0.04,0.02,0.16,0.88,0.37
1133,0.65,0.53,0.53,0.59,0.39,0.3,0.72,0.5,0.08,0.22
1134,0.64,0.55,0.23,0.65,0.39,0.19,0.67,0.33,0.02,0.08
1135,0.63,0.36,0.47,0.45,0.48,0.11,0.43,0.06,0.03,0.14
1136,0.3,0.2,0.31,0.31,0.3,0.24,0.12,0.48,0.69,0.67
1137,0.5,0.2,0.21,0.56,0.22,0.07,0.09,0.09,0.13,0.1
1138,0.16,0.13,0.07,0.35,0.11,0.15,0.02,0.23,0.9,0.47
1139,0.6,0.44,0.43,0.48,0.29,0.31,0.21,0.22,0.08,0.15
1140,0.53,0.43,0.4,0.56,0.21,0.07,0.13,0.22,0.24,0.2
1141,0.47,0.22,0.33,0.15,0.37,0.12,0.17,0.07,0.08,0.13
1142,0.28,0.19,0.27,0.5,0.26,0.53,0.04,0.27,0.61,0.51
1143,0.35,0.17,0.17,0.72,0.08,0.06,0.03,0.3,0.81,0.58
1144,0.3,0.14,0.35,0.36,0.77,0.36,0.29,0.25,0.13,0.24
1145,0.69,0.6,0.53,0.51,0.47,0.65,0.69,0.6,0.03,0.18
1146,0.67,0.42,0.54,0.55,0.44,0.39,0.62,0.51,0.15,0.25
1147,0.59,0.38,0.22,0.27,0.26,0.23,0.5,0.09,0.03,0.08
1148,0.58,0.55,0.4,0.63,0.25,0.05,0.07,0.26,0.25,0.14
1149,0.48,0.58,0.41,0.58,0.17,0.05,0.16,0.46,0.27,0.28
1150,0.4,0.11,0.16,0.34,0.39,0.19,0.11,0.18,0.22,0.36
1151,0.44,0.6,0.32,0.46,0.14,0.11,0.17,0.3,0.24,0.39
1152,0.72,0.55,0.41,0.35,0.38,0.15,0.37,0.59,0.06,0.17
1153,0.72,0.55,0.6,0.57,0.48,0.52,0.78,0.5,0.04,0.15
1154,0.28,0.34,0.15,0.29,0.15,0.49,0.05,0.77,0.84,0.71
1155,0.62,0.45,0.27,0.29,0.22,0.12,0.25,0.06,0.03,0.11
1156,0.46,0.64,0.21,0.23,0.06,0.08,0.11,0.76,0.12,0.26
1157,0.7,0.52,0.55,0.42,0.61,0.36,0.57,0.31,0.04,0.23
1158,0.68,0.58,0.46,0.43,0.11,0.04,0.08,0.13,0.11,0.18
1159,0.39,0.26,0.43,0.38,0.53,0.35,0.59,0.06,0.02,0.15
1160,0.56,0.37,0.43,0.64,0.41,0.34,0.54,0.5,0.1,0.31
1161,0.3,0.14,0.14,0.8,0.06,0.04,0.02,0.09,0.56,0.17
1162,0.65,0.7,0.17,0.23,0.17,0.17,0.11,0.6,0.52,0.67
1163,0.68,0.44,0.53,0.57,0.53,0.28,0.76,0.22,0.05,0.13
1164,0.77,0.5,0.56,0.4,0.32,0.2,0.62,0.52,0.03,0.17
1165,0.29,0.33,0.15,0.45,0.1,0.37,0.05,0.72,0.8,0.62
1166,0.56,0.42,0.5,0.43,0.68,0.3,0.72,0.17,0.05,0.17
1167,0.29,0.16,0.27,0.79,0.23,0.27,0.08,0.22,0.33,0.37
1168,0.5,0.29,0.39,0.68,0.26,0.64,0.47,0.35,0.12,0.27
1169,0.31,0.22,0.11,0.59,0.09,0.07,0.02,0.35,0.84,0.72
1170,0.75,0.55,0.6,0.51,0.61,0.35,0.73,0.41,0.05,0.2
1171,0.66,0.31,0.28,0.38,0.3,0.16,0.19,0.34,0.02,0.2
1172,0.4,0.36,0.12,0.15,0.14,0.88,0.09,0.18,0.42,0.27
1173,0.64,0.63,0.31,0.37,0.55,0.63,0.65,0.69,0.04,0.6
1174,0.74,0.62,0.42,0.51,0.49,0.34,0.68,0.32,0.03,0.11
1175,0.75,0.63,0.39,0.52,0.3,0.07,0.68,0.49,0.03,0.18
